,date,pm25,o3,no2,co
0,2024-05-01,54.0,30.0,16.0,2.0
3,2024-05-04,27.0,22.0,10.0,2.0
5,2024-05-06,66.0,44.0,12.0,2.0
6,2024-05-07,34.0,41.0,18.0,2.0
8,2024-05-09,17.0,23.0,8.0,2.0
11,2024-05-12,20.0,22.0,15.0,2.0
12,2024-05-13,39.0,26.0,18.0,2.0
13,2024-05-14,36.0,30.0,13.0,2.0
16,2024-05-17,29.0,33.0,10.0,2.0
18,2024-05-19,18.0,30.0,11.0,2.0
19,2024-05-20,30.0,34.0,17.0,2.0
20,2024-05-21,39.0,40.0,14.0,2.0
21,2024-05-22,42.0,43.0,17.0,2.0
22,2024-05-23,45.0,22.0,15.0,2.0
23,2024-05-24,49.0,25.5,19.0,2.0
26,2024-04-03,34.0,30.0,8.0,2.0
27,2024-04-04,14.0,29.0,10.0,2.0
32,2024-04-09,55.0,36.0,13.0,2.0
37,2024-04-14,29.0,44.0,17.0,2.0
39,2024-04-16,25.0,28.0,20.0,2.0
41,2024-04-18,19.0,25.0,12.0,2.0
44,2024-04-21,19.0,38.0,11.0,2.0
45,2024-04-22,23.0,39.0,18.0,2.0
48,2024-04-25,21.0,30.0,15.0,2.0
50,2024-04-27,24.0,34.0,16.0,2.0
52,2024-04-29,63.0,27.0,5.0,2.0
54,2024-01-01,36.0,18.0,16.0,2.0
55,2024-01-02,22.0,17.0,14.0,2.0
56,2024-01-03,40.0,24.0,13.0,2.0
57,2024-01-04,44.0,25.0,12.0,2.0
58,2024-01-05,34.0,22.0,12.0,2.0
59,2024-01-06,49.0,20.0,11.0,2.0
60,2024-01-07,34.0,20.0,14.0,2.0
63,2024-01-10,45.0,18.0,15.0,2.0
64,2024-01-11,43.0,24.0,18.0,2.0
67,2024-01-14,42.0,19.0,17.0,2.0
69,2024-01-16,54.0,23.0,16.0,2.0
72,2024-01-19,55.0,24.0,9.0,2.0
80,2024-01-27,54.0,18.0,11.0,2.0
81,2024-01-28,38.0,15.0,11.0,2.0
82,2024-01-29,34.0,17.0,15.0,2.0
83,2024-01-30,43.0,19.0,22.0,2.0
86,2024-02-02,50.0,21.0,10.0,2.0
87,2024-02-03,28.0,27.0,12.0,2.0
88,2024-02-04,29.0,29.0,13.0,2.0
89,2024-02-05,27.0,25.0,14.0,2.0
95,2024-02-11,49.0,14.0,11.0,2.0
96,2024-02-12,42.0,18.0,13.0,2.0
98,2024-02-14,30.0,22.0,17.0,2.0
100,2024-02-16,27.0,24.0,13.0,2.0
101,2024-02-17,36.0,29.0,14.0,2.0
103,2024-02-19,34.0,25.0,18.0,2.0
105,2024-02-21,29.0,24.0,17.0,2.0
107,2024-02-23,54.0,29.0,10.0,2.0
108,2024-02-24,43.0,25.0,15.0,2.0
113,2024-02-29,28.0,27.0,14.0,2.0
115,2024-03-02,29.0,29.0,11.0,2.0
116,2024-03-03,31.0,19.0,14.0,2.0
117,2024-03-04,28.0,23.0,11.0,2.0
118,2024-03-05,27.0,10.0,17.0,2.0
119,2024-03-06,52.0,19.0,10.0,2.0
